sub_id,from,to,choice,edge,mem_value,triad_value,comm_value,sr0,sr1,sr2,sr3,sr4,sr5,sr6,sr7,sr8,sr9
2,17,5,0,0,0,0,0.047619047619047616,0.06596988329993703,0.06283858813172362,0.06005996647325619,0.057644305741253364,0.055607953076196905,0.05397396625109797,0.052771931803127815,0.052035134461732094,0.05178996529085814,0.05202103958904107
2,17,6,1,0,0,0.06666666666666667,0.047619047619047616,0,0.0044248124741435284,0.0085120096780571,0.0122745078142689,0.015716388391682167,0.018831784875393914,0.021604219770451325,0.024009605572877603,0.026029736992636922,0.02767357228121094
2,17,7,0,1,0.2,0.06666666666666667,0.047619047619047616,0.18543866970214065,0.1707177428729845,0.15654653179280587,0.142840809459933,0.12952216210478482,0.11651963086508298,0.10377523903568069,0.09125687941800514,0.07897975272892235,0.06700966819381006
2,17,8,0,0,0,0.06666666666666667,0.047619047619047616,0,0.006506216456997758,0.01261192937694624,0.018319441897037315,0.02362759683547884,0.028530935255887346,0.03302066601625998,0.03709145804609815,0.040762182606443625,0.04411874749417582
2,17,9,0,0,0,0,0.047619047619047616,0.12563421973886352,0.11635980979615644,0.1074725851399385,0.09892265937933349,0.09065874808628255,0.08262699494790186,0.07477124815886385,0.06703834272001107,0.059398058416100095,0.05190023923211647
2,17,10,0,0,0,0.06666666666666667,0.047619047619047616,0.040555872950939105,0.04115127697121511,0.042025824845663896,0.04320300187867021,0.044704933106087134,0.04655098574399468,0.04875402056492334,0.051311404651826355,0.05418498894584915,0.057272032236055793
2,17,11,0,0,0,0.06666666666666667,0.047619047619047616,0,0.005117880463044807,0.009803526990730387,0.014092458535855768,0.018022347942239506,0.02163582598500557,0.02498369412475369,0.028127841994030456,0.03114091239487993,0.03408163244047471
2,17,12,0,0,0,0.06666666666666667,0.047619047619047616,0,0.0063359366738577555,0.011700540077277765,0.016127782222987757,0.019651396760280458,0.0223065898033222,0.02413185210966498,0.02516919768922201,0.025456882157928334,0.024999123715660432
2,17,13,0,0,0,0,0.047619047619047616,0,0.0021699538509432166,0.004431092468178065,0.006785338716633819,0.00923687129780103,0.011790738782608692,0.014451223307488483,0.017220836138880674,0.02010343182235792,0.023119658046341928
2,17,14,0,0,0,0.06666666666666667,0.047619047619047616,0,0.005480773791501071,0.010496574187795963,0.015076995329708619,0.01924930757867534,0.02304000809358654,0.026476263464657125,0.029585689567844596,0.03238741284720134,0.034847437461745095
2,17,15,0,0,0,0,0.047619047619047616,0.04063701854099018,0.04289896397169723,0.04520493792513333,0.04752459846489969,0.04983332415803643,0.052114290866644854,0.05436088835465258,0.05657784935036663,0.05877755541568164,0.060969393177572356
