sub_id,from,to,from_face,to_face,edge,choice,confidence,rt_choice,rt_confidence
3,13,3,CFD-LF-222-147-N.jpg,CFD-BF-210-130-N.jpg,0,0,2,8830,994
3,2,1,CFD-BM-203-001-N.jpg,CFD-WF-214-122-N.jpg,1,1,3,2744,1022
3,5,10,CFD-LF-230-203-N.jpg,CFD-AF-252-135-N.jpg,0,0,2,3222,648
3,3,5,CFD-BF-210-130-N.jpg,CFD-LF-230-203-N.jpg,1,1,2,9984,1384
3,10,5,CFD-AF-252-135-N.jpg,CFD-LF-230-203-N.jpg,0,0,2,2528,492
3,11,3,CFD-WM-208-068-N.jpg,CFD-BF-210-130-N.jpg,0,1,2,3381,553
3,12,7,CFD-LM-212-143-N.jpg,CFD-WM-209-038-N.jpg,0,0,2,5287,499
3,8,10,CFD-AM-229-224-N.jpg,CFD-AF-252-135-N.jpg,1,1,3,1784,1392
3,9,3,CFD-AM-203-086-N.jpg,CFD-BF-210-130-N.jpg,0,0,2,2807,942
3,12,8,CFD-LM-212-143-N.jpg,CFD-AM-229-224-N.jpg,0,0,2,4542,872
3,8,6,CFD-AM-229-224-N.jpg,CFD-LM-231-214-N.jpg,0,0,2,4884,3289
3,10,11,CFD-AF-252-135-N.jpg,CFD-WM-208-068-N.jpg,0,0,2,2667,474
3,4,5,CFD-BF-223-250-N.jpg,CFD-LF-230-203-N.jpg,1,0,2,4584,369
3,8,7,CFD-AM-229-224-N.jpg,CFD-WM-209-038-N.jpg,0,0,2,4667,512
3,6,1,CFD-LM-231-214-N.jpg,CFD-WF-214-122-N.jpg,0,1,2,3846,911
3,13,1,CFD-LF-222-147-N.jpg,CFD-WF-214-122-N.jpg,0,0,2,2021,350
3,5,13,CFD-LF-230-203-N.jpg,CFD-LF-222-147-N.jpg,0,0,2,2544,706
3,6,9,CFD-LM-231-214-N.jpg,CFD-AM-203-086-N.jpg,0,1,2,2468,5475
3,12,13,CFD-LM-212-143-N.jpg,CFD-LF-222-147-N.jpg,1,1,3,2645,504
3,9,6,CFD-AM-203-086-N.jpg,CFD-LM-231-214-N.jpg,0,1,3,4644,575
3,7,8,CFD-WM-209-038-N.jpg,CFD-AM-229-224-N.jpg,0,0,2,3369,549
3,4,9,CFD-BF-223-250-N.jpg,CFD-AM-203-086-N.jpg,0,1,2,5039,1069
3,12,4,CFD-LM-212-143-N.jpg,CFD-BF-223-250-N.jpg,0,0,2,3064,581
3,11,12,CFD-WM-208-068-N.jpg,CFD-LM-212-143-N.jpg,1,1,3,2625,902
3,6,11,CFD-LM-231-214-N.jpg,CFD-WM-208-068-N.jpg,0,1,3,2026,282
3,10,7,CFD-AF-252-135-N.jpg,CFD-WM-209-038-N.jpg,0,0,2,2225,434
3,4,12,CFD-BF-223-250-N.jpg,CFD-LM-212-143-N.jpg,0,0,2,7496,296
3,11,10,CFD-WM-208-068-N.jpg,CFD-AF-252-135-N.jpg,0,0,2,5675,346
3,13,8,CFD-LF-222-147-N.jpg,CFD-AM-229-224-N.jpg,0,0,2,10425,438
3,9,2,CFD-AM-203-086-N.jpg,CFD-BM-203-001-N.jpg,0,1,3,1490,1253
3,2,5,CFD-BM-203-001-N.jpg,CFD-LF-230-203-N.jpg,0,1,3,2291,389
