sub_id,trial_index,from,to,from_face,to_face
8,92,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
8,93,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
8,94,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
8,95,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
8,96,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
8,97,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
8,98,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
8,99,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
8,100,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
8,101,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
8,102,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
8,103,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
8,104,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
8,105,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
8,106,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
8,107,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
8,108,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
8,109,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
8,110,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
8,111,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
8,112,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
8,113,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
8,114,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
8,115,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
8,116,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
8,117,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
8,118,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
8,119,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
8,120,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
8,121,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
8,122,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
8,123,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
8,124,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
8,125,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
8,126,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
8,127,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
8,128,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
8,129,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
8,130,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
8,131,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
8,132,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
8,133,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
8,134,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
8,135,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
8,136,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
8,137,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
8,138,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
8,139,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
8,140,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
8,141,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
8,142,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
8,143,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
8,144,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
8,145,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
8,146,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
8,147,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
8,148,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
8,149,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
8,150,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
8,151,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
8,152,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
8,153,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
8,154,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
8,155,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
8,156,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
8,157,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
8,158,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
8,159,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
8,160,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
8,161,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
8,162,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
8,163,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
8,164,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
8,165,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
8,166,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
8,167,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
8,168,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
8,169,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
8,170,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
9,1,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
9,2,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
9,3,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
9,4,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
9,5,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
9,6,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
9,7,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
9,8,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
9,9,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
9,10,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
9,11,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
9,12,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
9,13,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
9,14,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
9,15,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
9,16,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
9,17,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
9,18,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
9,19,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
9,20,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
9,21,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
9,22,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
9,23,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
9,24,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
9,25,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
9,26,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
9,27,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
9,28,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
9,29,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
9,30,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
9,31,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
9,32,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
9,33,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
9,34,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
9,35,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
9,36,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
9,37,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
9,38,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
9,39,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
9,40,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
