subject,age,gender,total_group,mutual,response
162,44,female,few,half,1
163,54,male,few,half,2
164,64,female,few,half,1
165,35,male,few,half,0
166,34,male,few,half,1
167,36,male,few,half,0
168,24,male,few,half,0
169,32,male,few,half,1
170,40,male,few,half,-2
171,32,male,few,half,1
172,28,female,few,half,0
173,36,male,few,half,1
174,57,female,few,half,1
175,32,female,few,half,1
176,42,male,few,half,1
177,29,male,few,half,0
178,43,male,few,half,1
179,34,male,few,half,-1
180,40,female,few,half,1
1,24,male,few,high,2
2,37,female,few,high,3
3,20,male,few,high,1
4,43,male,few,high,3
5,24,male,few,high,2
6,30,female,few,high,2
7,56,female,few,high,2
8,31,female,few,high,2
9,53,female,few,high,3
10,49,female,few,high,1
11,60,female,few,high,2
12,37,male,few,high,1
13,64,female,few,high,2
14,24,male,few,high,2
15,55,female,few,high,1
16,43,female,few,high,1
17,64,male,few,high,3
18,28,male,few,high,2
19,38,male,few,high,1
20,31,male,few,high,2
21,31,male,few,high,2
22,27,female,few,high,3
23,59,female,few,high,0
24,51,female,few,high,2
25,32,male,few,high,2
26,26,female,few,high,1
27,24,female,few,high,3
28,32,male,few,high,2
29,46,male,few,high,2
30,30,male,few,high,3
31,30,female,few,high,3
32,29,female,few,high,2
33,56,male,few,high,2
34,36,male,few,high,2
35,35,female,few,high,-1
36,49,female,few,high,3
37,35,male,few,high,2
38,48,female,few,high,2
39,60,male,few,high,1
40,26,male,few,high,3
41,35,male,few,high,2
42,42,female,few,high,2
43,22,female,few,high,2
44,61,female,few,high,2
45,37,male,few,high,2
46,26,male,few,high,3
47,39,female,few,high,2
48,46,male,few,high,3
49,32,male,few,high,3
50,45,male,few,high,3
51,63,female,few,high,2
52,42,male,few,high,3
53,27,male,few,high,3
54,33,male,few,high,1
55,28,male,few,high,2
56,23,male,few,high,3
57,43,female,few,high,1
58,38,female,few,high,1
59,,male,few,high,-1
60,42,female,few,high,2
61,44,male,few,high,2
62,35,male,few,high,1
63,40,female,few,high,1
64,30,female,few,high,3
65,39,male,few,high,1
66,31,female,few,high,1
67,25,male,few,high,2
68,33,male,few,high,2
69,38,female,few,high,1
70,26,male,few,high,3
71,24,male,few,high,3
72,71,male,few,high,2
73,32,male,few,high,2
74,59,male,few,high,2
75,52,male,few,high,0
76,32,male,few,high,3
77,24,female,few,high,3
78,36,male,few,high,-3
79,59,male,few,high,2
80,42,male,few,high,3
81,49,female,few,high,2
82,57,female,few,high,2
83,79,male,few,high,1
84,55,female,few,high,2
85,55,male,few,high,2
86,72,female,few,high,0
87,56,female,few,high,3
88,65,male,few,high,3
89,30,male,few,high,2
90,37,female,few,high,2
91,41,male,few,high,-1
92,25,male,few,high,2
93,44,female,few,high,3
94,40,male,few,high,2
95,24,male,few,high,0
96,26,female,few,high,3
97,34,female,few,high,3
98,25,male,few,high,1
99,43,male,few,high,1
100,45,female,few,high,3
101,40,female,few,high,2
102,39,male,few,high,2
103,32,male,few,high,2
104,39,female,few,high,2
105,28,male,few,high,3
106,35,male,few,high,-1
107,26,male,few,high,2
108,39,male,few,high,3
109,24,male,few,high,3
110,37,female,few,high,3
111,27,male,few,high,2
112,30,female,few,high,2
113,32,male,few,high,2
114,32,male,few,high,2
115,41,male,few,high,1
116,23,male,few,high,1
117,33,male,few,high,2
118,38,female,few,high,2
119,33,female,few,high,2
120,44,female,few,high,2
121,33,female,few,high,3
122,43,male,few,high,1
123,37,female,few,high,2
124,42,male,few,high,2
125,53,female,few,high,3
126,51,female,few,high,-1
127,37,male,few,high,2
128,36,male,few,high,1
129,35,male,few,high,2
130,29,male,few,high,1
131,38,male,few,high,2
132,26,male,few,high,2
133,35,male,few,high,2
134,33,male,few,high,1
135,32,male,few,high,2
136,58,male,few,high,1
137,29,male,few,high,3
138,21,male,few,high,2
139,45,female,few,high,2
140,30,male,few,high,2
141,39,male,few,high,2
142,30,male,few,high,1
143,60,male,few,high,2
144,37,female,few,high,2
145,36,female,few,high,1
146,38,male,few,high,1
147,33,male,few,high,1
148,36,male,few,high,3
149,37,male,few,high,2
150,35,female,few,high,3
151,26,male,few,high,2
152,24,male,few,high,3
153,26,male,few,high,2
154,,female,few,high,3
155,34,male,few,high,2
156,39,female,few,high,1
157,22,female,few,high,2
158,39,male,few,high,2
159,31,female,few,high,2
160,30,male,few,high,1
161,39,male,few,high,2
162,44,female,few,high,2
163,54,male,few,high,2
164,64,female,few,high,2
165,35,male,few,high,0
166,34,male,few,high,2
167,36,male,few,high,1
168,24,male,few,high,2
169,32,male,few,high,2
170,40,male,few,high,-1
171,32,male,few,high,3
172,28,female,few,high,3
173,36,male,few,high,2
174,57,female,few,high,2
175,32,female,few,high,1
176,42,male,few,high,3
177,29,male,few,high,2
178,43,male,few,high,2
179,34,male,few,high,2
180,40,female,few,high,3
1,24,male,many,low,3
2,37,female,many,low,-3
3,20,male,many,low,-3
4,43,male,many,low,-2
5,24,male,many,low,-3
6,30,female,many,low,-1
7,56,female,many,low,-1
8,31,female,many,low,-3
9,53,female,many,low,0
10,49,female,many,low,-2
11,60,female,many,low,-3
12,37,male,many,low,-2
13,64,female,many,low,-1
14,24,male,many,low,-2
15,55,female,many,low,-1
16,43,female,many,low,-2
17,64,male,many,low,-3
18,28,male,many,low,-1
19,38,male,many,low,-1
20,31,male,many,low,0
21,31,male,many,low,-2
22,27,female,many,low,-3
23,59,female,many,low,-1
24,51,female,many,low,-3
25,32,male,many,low,-1
26,26,female,many,low,-1
27,24,female,many,low,-2
28,32,male,many,low,1
29,46,male,many,low,-1
30,30,male,many,low,-1
31,30,female,many,low,-1
32,29,female,many,low,-1
33,56,male,many,low,-2
34,36,male,many,low,-1
35,35,female,many,low,-2
36,49,female,many,low,-2
37,35,male,many,low,1
38,48,female,many,low,1
39,60,male,many,low,-1
40,26,male,many,low,-2
41,35,male,many,low,-2
42,42,female,many,low,-2
43,22,female,many,low,-3
44,61,female,many,low,-2
45,37,male,many,low,-2
46,26,male,many,low,-2
47,39,female,many,low,-1
48,46,male,many,low,-1
49,32,male,many,low,-2
50,45,male,many,low,-1
51,63,female,many,low,-2
52,42,male,many,low,-2
53,27,male,many,low,-3
54,33,male,many,low,-1
55,28,male,many,low,-3
56,23,male,many,low,-1
57,43,female,many,low,-2
58,38,female,many,low,-2
59,,male,many,low,-2
60,42,female,many,low,-3
61,44,male,many,low,-1
62,35,male,many,low,-2
63,40,female,many,low,-3
64,30,female,many,low,-2
65,39,male,many,low,-3
66,31,female,many,low,-2
67,25,male,many,low,-1
68,33,male,many,low,-1
69,38,female,many,low,-2
70,26,male,many,low,-2
71,24,male,many,low,-1
72,71,male,many,low,-1
73,32,male,many,low,-1
74,59,male,many,low,-1
75,52,male,many,low,0
76,32,male,many,low,-3
77,24,female,many,low,-3
78,36,male,many,low,-3
79,59,male,many,low,-3
80,42,male,many,low,-2
81,49,female,many,low,-3
82,57,female,many,low,-1
83,79,male,many,low,1
84,55,female,many,low,1
85,55,male,many,low,-2
86,72,female,many,low,-2
87,56,female,many,low,0
88,65,male,many,low,0
89,30,male,many,low,1
90,37,female,many,low,-1
91,41,male,many,low,-2
92,25,male,many,low,-3
93,44,female,many,low,-3
94,40,male,many,low,0
95,24,male,many,low,-3
96,26,female,many,low,-2
97,34,female,many,low,-2
98,25,male,many,low,-2
99,43,male,many,low,0
100,45,female,many,low,1
101,40,female,many,low,-1
102,39,male,many,low,-2
103,32,male,many,low,-2
104,39,female,many,low,-3
105,28,male,many,low,-3
106,35,male,many,low,2
107,26,male,many,low,-1
108,39,male,many,low,0
109,24,male,many,low,-2
110,37,female,many,low,0
111,27,male,many,low,-1
112,30,female,many,low,-1
113,32,male,many,low,-2
114,32,male,many,low,-1
115,41,male,many,low,-2
116,23,male,many,low,-2
117,33,male,many,low,-2
118,38,female,many,low,0
119,33,female,many,low,1
120,44,female,many,low,0
121,33,female,many,low,-1
122,43,male,many,low,-2
123,37,female,many,low,-1
124,42,male,many,low,-2
125,53,female,many,low,0
126,51,female,many,low,-3
127,37,male,many,low,-2
128,36,male,many,low,-1
129,35,male,many,low,-1
130,29,male,many,low,-2
131,38,male,many,low,-3
132,26,male,many,low,3
133,35,male,many,low,-3
134,33,male,many,low,1
135,32,male,many,low,-1
136,58,male,many,low,0
137,29,male,many,low,1
138,21,male,many,low,-2
139,45,female,many,low,0
140,30,male,many,low,-2
141,39,male,many,low,-2
142,30,male,many,low,2
143,60,male,many,low,-1
144,37,female,many,low,-2
145,36,female,many,low,-2
146,38,male,many,low,1
147,33,male,many,low,-2
148,36,male,many,low,-1
149,37,male,many,low,-3
150,35,female,many,low,1
151,26,male,many,low,-1
152,24,male,many,low,-2
153,26,male,many,low,-1
154,,female,many,low,-3
155,34,male,many,low,-2
156,39,female,many,low,-2
157,22,female,many,low,-1
158,39,male,many,low,-1
159,31,female,many,low,-2
160,30,male,many,low,-2
161,39,male,many,low,-2
162,44,female,many,low,0
163,54,male,many,low,1
164,64,female,many,low,1
165,35,male,many,low,1
166,34,male,many,low,-1
167,36,male,many,low,-3
168,24,male,many,low,-3
169,32,male,many,low,0
170,40,male,many,low,-3
171,32,male,many,low,-1
172,28,female,many,low,-3
173,36,male,many,low,-1
174,57,female,many,low,-1
175,32,female,many,low,-2
176,42,male,many,low,-2
177,29,male,many,low,-2
178,43,male,many,low,-2
179,34,male,many,low,-2
180,40,female,many,low,-3
1,24,male,many,half,2
2,37,female,many,half,2
3,20,male,many,half,2
4,43,male,many,half,-1
5,24,male,many,half,1
6,30,female,many,half,2
7,56,female,many,half,1
8,31,female,many,half,1
9,53,female,many,half,1
10,49,female,many,half,1
11,60,female,many,half,-1
12,37,male,many,half,0
13,64,female,many,half,0
14,24,male,many,half,2
15,55,female,many,half,1
16,43,female,many,half,2
17,64,male,many,half,1
18,28,male,many,half,1
19,38,male,many,half,0
20,31,male,many,half,1
21,31,male,many,half,1
22,27,female,many,half,1
23,59,female,many,half,0
24,51,female,many,half,1
25,32,male,many,half,2
26,26,female,many,half,1
27,24,female,many,half,1
28,32,male,many,half,2
29,46,male,many,half,1
30,30,male,many,half,2
31,30,female,many,half,2
32,29,female,many,half,1
33,56,male,many,half,-1
34,36,male,many,half,1
35,35,female,many,half,0
36,49,female,many,half,1
37,35,male,many,half,1
38,48,female,many,half,1
39,60,male,many,half,1
40,26,male,many,half,1
41,35,male,many,half,1
42,42,female,many,half,1
43,22,female,many,half,1
44,61,female,many,half,0
45,37,male,many,half,1
46,26,male,many,half,3
47,39,female,many,half,1
48,46,male,many,half,2
49,32,male,many,half,2
50,45,male,many,half,1
51,63,female,many,half,1
52,42,male,many,half,1
53,27,male,many,half,2
54,33,male,many,half,1
55,28,male,many,half,-1
56,23,male,many,half,1
57,43,female,many,half,-2
58,38,female,many,half,1
59,,male,many,half,1
60,42,female,many,half,2
61,44,male,many,half,1
62,35,male,many,half,-1
63,40,female,many,half,0
64,30,female,many,half,2
65,39,male,many,half,-1
66,31,female,many,half,2
67,25,male,many,half,2
68,33,male,many,half,1
69,38,female,many,half,1
70,26,male,many,half,2
71,24,male,many,half,3
72,71,male,many,half,1
73,32,male,many,half,1
74,59,male,many,half,2
75,52,male,many,half,0
76,32,male,many,half,1
77,24,female,many,half,2
78,36,male,many,half,-3
79,59,male,many,half,0
80,42,male,many,half,3
81,49,female,many,half,1
82,57,female,many,half,1
83,79,male,many,half,1
84,55,female,many,half,2
85,55,male,many,half,1
86,72,female,many,half,0
87,56,female,many,half,1
88,65,male,many,half,1
89,30,male,many,half,1
90,37,female,many,half,2
91,41,male,many,half,-1
92,25,male,many,half,-1
93,44,female,many,half,1
94,40,male,many,half,1
95,24,male,many,half,0
96,26,female,many,half,1
97,34,female,many,half,2
98,25,male,many,half,0
99,43,male,many,half,2
100,45,female,many,half,2
101,40,female,many,half,1
102,39,male,many,half,2
103,32,male,many,half,2
104,39,female,many,half,1
105,28,male,many,half,1
106,35,male,many,half,1
107,26,male,many,half,2
108,39,male,many,half,2
109,24,male,many,half,1
110,37,female,many,half,2
111,27,male,many,half,1
112,30,female,many,half,2
113,32,male,many,half,1
114,32,male,many,half,1
115,41,male,many,half,2
116,23,male,many,half,1
117,33,male,many,half,0
118,38,female,many,half,1
119,33,female,many,half,2
120,44,female,many,half,2
121,33,female,many,half,2
122,43,male,many,half,1
123,37,female,many,half,1
124,42,male,many,half,1
125,53,female,many,half,3
126,51,female,many,half,-2
127,37,male,many,half,1
128,36,male,many,half,1
129,35,male,many,half,2
130,29,male,many,half,2
131,38,male,many,half,1
132,26,male,many,half,2
133,35,male,many,half,0
134,33,male,many,half,1
135,32,male,many,half,1
136,58,male,many,half,-1
137,29,male,many,half,2
138,21,male,many,half,1
139,45,female,many,half,1
140,30,male,many,half,1
141,39,male,many,half,2
142,30,male,many,half,2
143,60,male,many,half,2
144,37,female,many,half,2
145,36,female,many,half,1
146,38,male,many,half,-2
147,33,male,many,half,1
148,36,male,many,half,3
149,37,male,many,half,-2
150,35,female,many,half,1
151,26,male,many,half,1
152,24,male,many,half,1
153,26,male,many,half,0
154,,female,many,half,2
155,34,male,many,half,1
156,39,female,many,half,1
157,22,female,many,half,1
158,39,male,many,half,2
159,31,female,many,half,2
160,30,male,many,half,1
161,39,male,many,half,1
162,44,female,many,half,1
163,54,male,many,half,2
164,64,female,many,half,1
165,35,male,many,half,1
166,34,male,many,half,2
167,36,male,many,half,1
168,24,male,many,half,1
169,32,male,many,half,2
170,40,male,many,half,-2
171,32,male,many,half,2
172,28,female,many,half,-3
173,36,male,many,half,2
174,57,female,many,half,1
175,32,female,many,half,2
176,42,male,many,half,1
177,29,male,many,half,1
178,43,male,many,half,2
179,34,male,many,half,0
180,40,female,many,half,-1
1,24,male,many,high,2
2,37,female,many,high,3
3,20,male,many,high,3
4,43,male,many,high,2
5,24,male,many,high,2
6,30,female,many,high,3
7,56,female,many,high,2
8,31,female,many,high,1
9,53,female,many,high,3
10,49,female,many,high,2
11,60,female,many,high,2
