task,study,sub_id,model,param_name,param_value,optim_value,convergence,optimizer_run
Memory,Paired Associates,25,Mem. + SR,w_naught,-0.0118429754164933,101.6966913961924,converged,15
Memory,Paired Associates,25,Mem. + SR,w_mem,-1.6623012411215006,101.6966913961924,converged,15
Memory,Paired Associates,25,Mem. + SR,w_sr,2.2015656519832385,101.6966913961924,converged,15
Memory,Paired Associates,25,Mem. + SR,sr_gamma,3.6924702013109786e-8,101.6966913961924,converged,15
Memory,Paired Associates,25,SR,w_naught,-0.01170609307334339,102.10940941449104,converged,19
Memory,Paired Associates,25,SR,w_sr,0.39657841876150896,102.10940941449104,converged,19
Memory,Paired Associates,25,SR,sr_gamma,2.5414533213323647e-7,102.10940941449104,converged,19
Memory,Paired Associates,26,Mem.,w_naught,-0.23004109915798837,50.73396445381026,converged,14
Memory,Paired Associates,26,Mem.,w_mem,1.0900537474427003,50.73396445381026,converged,14
Memory,Paired Associates,26,Mem. + SR,w_naught,-0.2659314646306473,49.312220355127515,converged,20
Memory,Paired Associates,26,Mem. + SR,w_mem,0.46790019977820563,49.312220355127515,converged,20
Memory,Paired Associates,26,Mem. + SR,w_sr,2.3854257336956346,49.312220355127515,converged,20
Memory,Paired Associates,26,Mem. + SR,sr_gamma,0.7644947679617329,49.312220355127515,converged,20
Memory,Paired Associates,26,SR,w_naught,-0.2721365526952001,49.6329906223979,converged,21
Memory,Paired Associates,26,SR,w_sr,2.423285215206482,49.6329906223979,converged,21
Memory,Paired Associates,26,SR,sr_gamma,0.5632369862075345,49.6329906223979,converged,21
Memory,Paired Associates,27,Mem.,w_naught,-0.160867845374649,65.33721360270485,converged,18
Memory,Paired Associates,27,Mem.,w_mem,1.037675596400729,65.33721360270485,converged,18
Memory,Paired Associates,27,Mem. + SR,w_naught,-0.20105245985003475,62.75874112141557,converged,7
Memory,Paired Associates,27,Mem. + SR,w_mem,0.1073330895040462,62.75874112141557,converged,7
Memory,Paired Associates,27,Mem. + SR,w_sr,2.4156947944391343,62.75874112141557,converged,7
Memory,Paired Associates,27,Mem. + SR,sr_gamma,0.6324953007453666,62.75874112141557,converged,7
